PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,YEAR,TEMP_RANGE,LAGGED_PRECIPITATION,LAGGED_AVG_WIND_SPEED,SEASON_SIN,SEASON_COS,DAY_SIN,DAY_COS,FIRE_START_DAY
0.0,0.5178571428571428,0.40909090909090917,0.11936013125512715,0.0,0.6666666666666666,0.0,0.13757672804910592,0.0,1.0,0.01716632975470737,0.9998526477050269,0
0.0,0.375,0.2954545454545454,0.15586546349466773,0.0,0.5897435897435896,0.0,0.17914331465172129,0.0,1.0,0.034327600513243496,0.9994106342455052,0
0.0,0.3571428571428572,0.3181818181818181,0.1468416735028712,0.0,0.5384615384615384,0.0,0.18614891913530818,0.0,1.0,0.05147875477034653,0.9986740898848305,0
0.0,0.4642857142857142,0.2727272727272727,0.11936013125512715,0.0,0.7435897435897435,0.0,0.1740058713637576,0.0,1.0,0.06861473800213404,0.9976432316860063,0
0.0,0.4285714285714286,0.36363636363636376,0.13740771123872023,0.0,0.5897435897435896,0.0,0.1749399519615692,0.0,1.0,0.08573050015569435,0.9963183634476755,0
0.0,0.2678571428571428,0.36363636363636376,0.22928630024610333,0.0,0.358974358974359,0.0,0.21043501467840942,0.0,1.0,0.1028209971373604,0.9946998756145891,0
0.0,0.1607142857142858,0.4772727272727273,0.1652994257588187,0.0,0.07692307692307691,0.0,0.21497197758206565,0.0,1.0,0.11988119229922722,0.99278824516254,0
0.0,0.1607142857142858,0.5,0.06439704675963903,0.0,0.05128205128205128,0.0,0.19709100613824387,0.0,1.0,0.13690605792347524,0.990584035457797,0
0.0,0.1964285714285714,0.4772727272727273,0.2018047579983593,0.0,0.1282051282051282,0.0,0.21203629570322924,0.0,1.0,0.15389057670406178,0.9880878960910772,0
0.0,0.3571428571428572,0.3181818181818181,0.11936013125512715,0.0,0.5384615384615384,0.0,0.2030958099412864,0.0,1.0,0.1708297432253442,0.985300562686109,0
0.0,0.3214285714285714,0.2954545454545454,0.1652994257588187,0.0,0.5128205128205128,0.0,0.21804109954630368,0.0,1.0,0.1877185654371987,0.9822228566828407,0
0.0,0.3392857142857142,0.3181818181818181,0.13740771123872023,0.0,0.5128205128205128,0.0,0.21804109954630368,0.0,1.0,0.2045520661262008,0.9788556850953578,0
0.0,0.2142857142857142,0.34090909090909083,0.21082854799015585,0.0,0.3076923076923077,0.0,0.21203629570322924,0.0,1.0,0.22132528438243257,0.9752000402445825,0
0.0,0.1607142857142858,0.34090909090909083,0.17432321575061524,0.0,0.23076923076923078,0.0,0.21497197758206565,0.0,1.0,0.2380332770614856,0.9712569994658314,0
0.0,0.1607142857142858,0.2272727272727273,0.2018047579983593,0.0,0.358974358974359,0.0,0.25967440619161997,0.0,1.0,0.2546711202412287,0.9670277247913204,0
0.08609271523178808,0.0892857142857143,0.2727272727272727,0.2018047579983593,0.0,0.20512820512820512,0.047677261613691936,0.25967440619161997,0.0,1.0,0.27123391067291003,0.9625134626077081,0
0.0,0.2321428571428572,0.18181818181818188,0.15586546349466773,0.0,0.5128205128205128,0.047677261613691936,0.27155057379236713,0.0,1.0,0.287716767226167,0.9577155432887803,0
0.0,0.1964285714285714,0.25,0.15586546349466773,0.0,0.38461538461538464,0.047677261613691936,0.268481451828129,0.0,1.0,0.30411483232751785,0.9526353808033826,0
0.0,0.1785714285714286,0.3181818181818181,0.1283839212469237,0.0,0.28205128205128205,0.047677261613691936,0.2655457699492927,0.0,1.0,0.3204232733919111,0.9472744722987169,0
0.0,0.3571428571428572,0.25,0.15586546349466773,0.0,0.6153846153846153,0.047677261613691936,0.24766479850547107,0.0,1.0,0.33663728424691025,0.9416343976591259,0
0.0,0.25,0.4545454545454546,0.1652994257588187,0.0,0.23076923076923078,0.047677261613691936,0.24472911662663455,0.0,1.0,0.3527520865490948,0.9357168190404936,0
0.0,0.2142857142857142,0.2727272727272727,0.2018047579983593,0.0,0.38461538461538464,0.047677261613691936,0.24472911662663455,0.0,1.0,0.3687629311922601,0.9295234803804003,0
0.0,0.2857142857142858,0.2727272727272727,0.15586546349466773,0.0,0.48717948717948717,0.0,0.22978382706164935,0.0,1.0,0.3846650997070012,0.9230562068841761,0
0.0,0.3571428571428572,0.34090909090909083,0.10090237899917964,0.0,0.5128205128205128,0.0,0.2119028556178275,0.0,1.0,0.40045390565126643,0.9163169044870048,0
0.0,0.4285714285714286,0.40909090909090917,0.17432321575061524,0.0,0.5384615384615384,0.0,0.21790765946090207,0.0,1.0,0.41612469599147445,0.9093075592922358,0
0.0,0.4107142857142858,0.34090909090909083,0.48646431501230514,0.0,0.5897435897435896,0.0,0.3344008540165466,0.0,1.0,0.43167285247378384,0.9020302369860707,0
0.0,0.5178571428571428,0.5454545454545454,0.2752255947497949,0.0,0.5128205128205128,0.0,0.3732319188684281,0.0,1.0,0.44709379298511387,0.8944870822287956,1
0.0,0.4642857142857142,0.38636363636363646,0.15586546349466773,0.0,0.6153846153846153,0.0,0.37016279690418996,0.0,1.0,0.4623829729035149,0.88668031802274,0
0.0,0.5,0.40909090909090917,0.15586546349466773,0.0,0.641025641025641,0.0,0.35521750733920476,0.0,1.0,0.47753588643748823,0.8786122450571483,0
0.0,0.5,0.4772727272727273,0.1652994257588187,0.0,0.5641025641025641,0.0,0.3582866293034427,0.0,1.0,0.4925480679538643,0.8702852410301553,0
0.0,0.4107142857142858,0.4772727272727273,0.13740771123872023,0.0,0.4358974358974359,0.0,0.37016279690418996,0.0,1.0,0.5074150932938455,0.8617017599480682,0
